Gene name	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Gene stable ID
SPAG6	10	22634399	22743153	ENSG00000077327
CDSN	HSCHR6_MHC_COX	31075367	31080724	ENSG00000137197
PSORS1C2	HSCHR6_MHC_COX	31097829	31099645	ENSG00000224544
HEXIM1	17	43224684	43229468	ENSG00000186834
HEXIM2	17	43238067	43247407	ENSG00000168517
CCHCR1	HSCHR6_MHC_COX	31102772	31118543	ENSG00000234114
FMNL1	17	43298811	43324687	ENSG00000184922
PIP4K2A	10	22823778	23003484	ENSG00000150867
XPO1	2	61704984	61765761	ENSG00000082898
ENDOD1	HG348_PATCH	94822976	94865811	ENSG00000262523
AKR1C1	HG871_PATCH	4934796	5025475	ENSG00000266592
AL353608.2	HG962_PATCH	70866135	70866572	ENSG00000265385
ABBA01057584.1	HG1308_PATCH	130217801	130218782	ENSG00000272014
HMBS	HG299_PATCH	118955575	118964258	ENSG00000261883
AC118758.1	HG736_PATCH	56870561	56872546	ENSG00000263064
AC118758.5	HG736_PATCH	56881183	56883671	ENSG00000268248
AC118758.7	HG736_PATCH	56884715	56885557	ENSG00000269764
AC118758.6	HG736_PATCH	56886601	56887395	ENSG00000268843
AC118758.3	HG736_PATCH	56888439	56889377	ENSG00000268025
AC118758.4	HG736_PATCH	56890421	56894804	ENSG00000268187
FAM21C	HG1211_PATCH	46222648	46288409	ENSG00000265551
AC118758.8	HG736_PATCH	56897122	56900285	ENSG00000273246
FAM25E	HG1211_PATCH	46310876	46313036	ENSG00000264282
AGAP4	HG1211_PATCH	46321042	46349323	ENSG00000264842
TIMM23B	HG1211_PATCH	46467922	46484300	ENSG00000265354
CR392000.1	HG998_1_PATCH	139141824	139143051	ENSG00000262705
NCOA4	HG1211_PATCH	46500536	46526162	ENSG00000266412
MYO7A	HG414_PATCH	76839307	76926281	ENSG00000261910
TEX2	HG183_PATCH	62224587	62340661	ENSG00000263185
SMURF2	HG183_PATCH	62619655	62739428	ENSG00000262909
CTSE	HG1293_PATCH	206072825	206087470	ENSG00000264606
DYRK3	HG1293_PATCH	206699097	206747980	ENSG00000265184
MAPKAPK2	HG1293_PATCH	206748505	206797844	ENSG00000266641
CR925767.1	HG1322_PATCH	29759097	29769948	ENSG00000264325
HLA-G	HG1322_PATCH	29794491	29798554	ENSG00000264751
DNAH12	HG280_PATCH	57327727	57578372	ENSG00000262840
CT009496.1	HG1322_PATCH	29849263	29852708	ENSG00000266796
AC114494.2	HG989_PATCH	31902192	31902614	ENSG00000269100
HLA-ABC	HG1322_PATCH	29902129	29909270	ENSG00000265434
MMP13	HG305_PATCH	102813725	102826464	ENSG00000262325
C11orf57	HG388_HG400_PATCH	111944809	111955873	ENSG00000262506
ZNF558	HG729_PATCH	8874588	8897212	ENSG00000262124
AC012616.1	HG729_PATCH	8836096	8838684	ENSG00000262330
ABT1	HG27_PATCH	26597180	26600278	ENSG00000268612
ZNF322	HG27_PATCH	26636518	26659980	ENSG00000267894
MSMB	HG1211_PATCH	46528753	46541772	ENSG00000263639
AGAP7	HG1211_PATCH	46604943	46627108	ENSG00000264204
GPRIN2	HG1211_PATCH	47039422	47050978	ENSG00000262722
SYT15	HG1211_PATCH	47073665	47089621	ENSG00000263480
POM121	HG1257_PATCH	72344322	72416397	ENSG00000262122
FSCN2	HG271_PATCH	79502196	79510930	ENSG00000266662
TRIM74	HG1257_PATCH	72424442	72434423	ENSG00000262421
AC211476.1	HG1257_PATCH	72453906	72459424	ENSG00000269406
PTPN20B	HG1211_PATCH	47406844	47497936	ENSG00000264832
GDF10	HG1211_PATCH	47795834	47808995	ENSG00000266524
NSUN5	HG1257_PATCH	72767474	72773824	ENSG00000262589
GDF2	HG1211_PATCH	47817957	47821718	ENSG00000263761
RBP3	HG1211_PATCH	47843819	47853323	ENSG00000265203
TRIM50	HG1257_PATCH	72777496	72793039	ENSG00000262964
ZNF488	HG1211_PATCH	47860944	47879786	ENSG00000265763
FKBP6	HG1257_PATCH	72793121	72823582	ENSG00000262532
FZD9	HG1257_PATCH	72898736	72901077	ENSG00000263254
ANXA8	HG1211_PATCH	47955610	47979557	ENSG00000265190
BAZ1B	HG1257_PATCH	72905355	72987235	ENSG00000262694
AL591684.2	HG1211_PATCH	47955611	47979531	ENSG00000263801
FAM25G	HG1211_PATCH	47982667	47987141	ENSG00000264883
AGAP9	HG1211_PATCH	47997302	48045198	ENSG00000264561
BCL7B	HG1257_PATCH	73001313	73022959	ENSG00000263151
FAM25C	HG1211_PATCH	48405841	48414013	ENSG00000264199
AC244230.3	HG1211_PATCH	46864535	46868997	ENSG00000273225
AC244230.1	HG1211_PATCH	46871075	46887229	ENSG00000264230
AC244230.2	HG1211_PATCH	46956547	46961329	ENSG00000266170
NPY4R	HG1211_PATCH	48332968	48337753	ENSG00000264717
TBL2	HG1257_PATCH	73033889	73043748	ENSG00000263049
MLXIPL	HG1257_PATCH	73058151	73089500	ENSG00000262077
AC091738.3	HG1257_PATCH	72039493	72293191	ENSG00000272618
PGPEP1L	HG971_PATCH	99511459	99551024	ENSG00000269733
TTC23	HG971_PATCH	99679552	99794452	ENSG00000269714
AC036108.1	HG971_PATCH	99648309	99678794	ENSG00000269283
PPP2R2D	HG1479_PATCH	133787054	133812430	ENSG00000269277
GPR107	HG1502_PATCH	132815705	132902448	ENSG00000269797
RXRA	HG1501_PATCH	137221915	137345402	ENSG00000269571
AL360004.2	HG1502_PATCH	132902889	132906498	ENSG00000267806
NCS1	HG1502_PATCH	132934857	132999583	ENSG00000268733
KATNB1	HG1208_PATCH	57769642	57791162	ENSG00000268329
SHANK2	HG865_PATCH	70313961	71048647	ENSG00000268430
KIFC3	HG1208_PATCH	57792129	57896965	ENSG00000269180
AC092118.1	HG1208_PATCH	57847692	57850839	ENSG00000270675
HMCN2	HG1502_PATCH	133046882	133340606	ENSG00000269324
VPS37D	HG1257_PATCH	73132782	73137069	ENSG00000262018
DNAJC30	HG1257_PATCH	73145926	73148410	ENSG00000261940
WBSCR22	HG1257_PATCH	73147982	73170118	ENSG00000262030
STX1A	HG1257_PATCH	73164163	73184629	ENSG00000263024
ABHD11	HG1257_PATCH	73201051	73203824	ENSG00000262947
CLDN3	HG1257_PATCH	73233955	73235227	ENSG00000262073
CLDN4	HG1257_PATCH	73264499	73297641	ENSG00000262988
WBSCR27	HG1257_PATCH	73299547	73307492	ENSG00000262499
WBSCR28	HG1257_PATCH	73326116	73330850	ENSG00000262459
ELN	HG1257_PATCH	73492746	73534864	ENSG00000262184
LIMK1	HG1257_PATCH	73547890	73587482	ENSG00000262063
EIF4H	HG1257_PATCH	73639202	73662058	ENSG00000263344
LAT2	HG1257_PATCH	73664609	73694788	ENSG00000262128
RFC2	HG1257_PATCH	73696456	73719401	ENSG00000261911
CLIP2	HG1257_PATCH	73754432	73870900	ENSG00000263226
GTF2IRD1	HG1257_PATCH	73918747	74067561	ENSG00000261920
NCF1	HG1257_PATCH	74238919	74254272	ENSG00000261919
AC211486.1	HG1257_PATCH	74835589	74841107	ENSG00000268330
TRIM73	HG1257_PATCH	74860020	74875953	ENSG00000262895
HIP1	HG1257_PATCH	74998257	75203919	ENSG00000263334
CCL26	HG1257_PATCH	75234490	75254853	ENSG00000262029
CCL24	HG1257_PATCH	75276622	75288313	ENSG00000262306
RHBDD2	HG1257_PATCH	75307559	75353883	ENSG00000262744
POR	HG1257_PATCH	75364157	75451812	ENSG00000262569
STYXL1	HG1257_PATCH	75461295	75512961	ENSG00000262263
MDH2	HG1257_PATCH	75513008	75532465	ENSG00000262847
SRRM3	HG1257_PATCH	75666855	75752244	ENSG00000262321
GTF2I	HG1257_PATCH	74122661	74225649	ENSG00000263001
WBSCR16	HG1257_PATCH	74507134	74538820	ENSG00000263008
AC245150.1	HG1257_PATCH	74557549	74611888	ENSG00000273150
AC211429.1	HG1257_PATCH	74883570	74906074	ENSG00000272391
FP885535.1	HG1486_PATCH	16699848	16713306	ENSG00000268486
RABL2B	HG497_PATCH	51205929	51222091	ENSG00000269671
GATA5	HG506_HG507_HG1000_PATCH	61038553	61051026	ENSG00000261345
CXorf30	HG1423_PATCH	36246735	36403433	ENSG00000268212
C20orf166	HG506_HG507_HG1000_PATCH	61125509	61145820	ENSG00000272032
FAM47C	HG1423_PATCH	37026476	37029783	ENSG00000269230
AC244163.2	HG1146_PATCH	43907914	43908327	ENSG00000269703
AC244163.1	HG1146_PATCH	43920023	43920169	ENSG00000269525
AC139677.9	HG1146_PATCH	43954674	43955041	ENSG00000269314
PRRG1	HG1424_PATCH	37209337	37317357	ENSG00000268431
DLGAP4	HG144_PATCH	34894258	35116559	ENSG00000269562
TM4SF2	HG1424_PATCH	37209392	38547737	ENSG00000269550
AC139677.10	HG1146_PATCH	44077977	44115835	ENSG00000269394
LANCL3	HG1424_PATCH	37431631	37544525	ENSG00000269670
GSC2	HG329_PATCH	19136089	19137796	ENSG00000267876
XK	HG1424_PATCH	37545821	37592192	ENSG00000269380
CCNB3	HG1433_PATCH	49967364	50094910	ENSG00000269438
SLC25A1	HG329_PATCH	19163095	19166343	ENSG00000268928
CYBB	HG1424_PATCH	37640073	37673523	ENSG00000268765
AC233297.1	HG1424_PATCH	37479778	37487256	ENSG00000272185
SHROOM4	HG1433_PATCH	50334647	50557302	ENSG00000268668
BMP15	HG1433_PATCH	50653784	50659607	ENSG00000269479
NUDT10	HG1433_PATCH	51075231	51080525	ENSG00000269003
CXorf67	HG1433_PATCH	51149915	51151835	ENSG00000269448
NUDT11	HG1433_PATCH	51233011	51239596	ENSG00000269203
HIRA	HG329_PATCH	19318211	19435214	ENSG00000268569
GSPT2	HG1433_PATCH	51486385	51489228	ENSG00000268273
C22orf39	HG329_PATCH	19338881	19435745	ENSG00000269301
MAGED1	HG1433_PATCH	51546007	51645357	ENSG00000268018
CLTCL1	HG329_PATCH	19166989	19279229	ENSG00000269216
RP11-114H20.1	HG1433_PATCH	51793860	51797255	ENSG00000268113
MAGED4B	HG1433_PATCH	51804827	51812272	ENSG00000268682
DGKK	HG1433_PATCH	50111880	50213722	ENSG00000267972
SPIN4	HG1437_PATCH	62566698	62570814	ENSG00000268762
ARHGEF9	HG1437_PATCH	62854437	63005016	ENSG00000268229
HDAC8	HG1438_PATCH	71549366	71792953	ENSG00000268498
PHKA1	HG1438_PATCH	71798664	71934169	ENSG00000268579
DMRTC1B	HG1438_PATCH	71996859	72068652	ENSG00000268159
XAGE2B	HG1433_PATCH	52112030	52118680	ENSG00000269076
PABPC1L2B	HG1438_PATCH	72223363	72225562	ENSG00000267891
XAGE1A	HG1433_PATCH	52238668	52243812	ENSG00000269805
DMRTC1	HG1438_PATCH	72091875	72097714	ENSG00000269502
XAGE1B	HG1433_PATCH	52255077	52263803	ENSG00000262401
SSX7	HG1433_PATCH	52387090	52397900	ENSG00000267995
SSX2	HG1433_PATCH	52439896	52450189	ENSG00000267864
SPANXN5	HG1433_PATCH	52539144	52541101	ENSG00000268792
XAGE5	HG1433_PATCH	52555204	52561301	ENSG00000269249
XAGE3	HG1433_PATCH	52605528	52611068	ENSG00000269052
GPR173	HG1433_PATCH	52792091	52823615	ENSG00000268476
TSPYL2	HG1433_PATCH	52825367	52831540	ENSG00000268269
KDM5C	HG1433_PATCH	52934321	52968422	ENSG00000269816
IQSEC2	HG1433_PATCH	52975876	53064324	ENSG00000268372
SMC1A	HG1433_PATCH	53117149	53165728	ENSG00000269384
RIBC1	HG1433_PATCH	53165690	53174111	ENSG00000269265
HSD17B10	HG1433_PATCH	53174258	53177373	ENSG00000268188
PHF8	HG1433_PATCH	53679676	53791958	ENSG00000268312
FAM120C	HG1433_PATCH	53811324	53926281	ENSG00000268158
WNK3	HG1433_PATCH	53935823	54101642	ENSG00000269511
AC245177.1	HG1433_PATCH	51927823	51935266	ENSG00000269710
AC245177.2	HG1433_PATCH	51942840	51946226	ENSG00000272246
SSX2	HG1433_PATCH	52494231	52504536	ENSG00000268447
FAM156A	HG1433_PATCH	52640400	52651556	ENSG00000268134
FAM156A	HG1433_PATCH	52690258	52701414	ENSG00000268350
HUWE1	HG1433_PATCH	53275144	53429752	ENSG00000268980
TIMM8A	HG1439_PATCH	100600649	100604184	ENSG00000268249
BTK	HG1439_PATCH	100604435	100641183	ENSG00000268897
RPL36A	HG1439_PATCH	100645812	100651105	ENSG00000269315
RPL36A-HNRNPH2	HG1439_PATCH	100645999	100667285	ENSG00000269719
GLA	HG1439_PATCH	100652791	100662913	ENSG00000268815
HNRNPH2	HG1439_PATCH	100663283	100669121	ENSG00000268642
ARMCX4	HG1439_PATCH	100673275	100788446	ENSG00000268722
ARMCX1	HG1439_PATCH	100805518	100809687	ENSG00000269801
ARMCX6	HG1439_PATCH	100870107	100872988	ENSG00000268213
ARMCX3	HG1439_PATCH	100877784	100882830	ENSG00000269173
TCEAL6	HG1440_PATCH	101395448	101397942	ENSG00000268377
BEX5	HG1440_PATCH	101408680	101411029	ENSG00000269503
TMSB15A	HG1440_PATCH	101768648	101771756	ENSG00000268368
AC234791.1	HG1440_PATCH	101470273	101481763	ENSG00000268235
ARMCX2	HG1439_PATCH	100910268	100914878	ENSG00000268151
NXF2	HG1440_PATCH	101502072	101581691	ENSG00000269405
NXF2	HG1440_PATCH	101615368	101694980	ENSG00000269437
PBDC1	HG1425_PATCH	75392771	75398039	ENSG00000269056
TCP11X2	HG1440_PATCH	101715291	101726784	ENSG00000268029
MAGEE1	HG1425_PATCH	75647488	75651186	ENSG00000269654
H2BFWT	HG1441_PATCH	103266076	103268616	ENSG00000268381
IL1RAPL2	HG375_PATCH	103810996	105011820	ENSG00000269512
TEX13A	HG375_PATCH	104463614	104465356	ENSG00000268629
H2BFM	HG1441_PATCH	103268626	103297383	ENSG00000269685
ZCCHC18	HG1441_PATCH	103367060	103370771	ENSG00000268176
FAM199X	HG1441_PATCH	103421549	103450831	ENSG00000268570
ESX1	HG1441_PATCH	103504967	103509862	ENSG00000268259
PABPC1L2A	HG1438_PATCH	72297126	72299362	ENSG00000268574
NAP1L6	HG1438_PATCH	72345887	72347930	ENSG00000268035
TMSB15B	HG1441_PATCH	103217580	103221224	ENSG00000268667
TMSB15B	HG1441_PATCH	103327497	103331141	ENSG00000269226
SLC25A53	HG1441_PATCH	103354144	103411956	ENSG00000269743
HTR2C	HG1462_PATCH	113820548	114146531	ENSG00000269075
IL13RA2	HG1462_PATCH	114240445	114256447	ENSG00000268456
LRCH2	HG1462_PATCH	114347092	114470542	ENSG00000268417
RBMXL3	HG1462_PATCH	114425870	114429338	ENSG00000269572
LUZP4	HG1462_PATCH	114526197	114544026	ENSG00000267900
PLS3	HG1462_PATCH	114797644	114887331	ENSG00000268767
SPANXN3	HG1458_PATCH	142596521	142605261	ENSG00000268490
SLITRK4	HG1458_PATCH	142715914	142722992	ENSG00000269158
SPANXN2	HG1458_PATCH	142799741	142809209	ENSG00000268988
AGTR2	HG1463_PATCH	115287055	115291305	ENSG00000269602
CT83	HG1463_PATCH	115578015	115579336	ENSG00000269010
SLC6A14	HG1463_PATCH	115552912	115575288	ENSG00000268104
RHOXF2B	HG1442_PATCH	119205846	119211705	ENSG00000267960
RHOXF1	HG1442_PATCH	119243016	119249900	ENSG00000268349
RHOXF2	HG1442_PATCH	119292524	119298002	ENSG00000268919
CT55	HG1443_HG1444_PATCH	134290566	134305428	ENSG00000268695
ZBTB33	HG1442_PATCH	119384715	119392361	ENSG00000269603
ZNF75D	HG1443_HG1444_PATCH	134382950	134478116	ENSG00000269162
TMEM255A	HG1442_PATCH	119392613	119445519	ENSG00000268760
ZNF449	HG1443_HG1444_PATCH	134478825	134497181	ENSG00000269327
DDX26B	HG1443_HG1444_PATCH	134654688	134716539	ENSG00000268630
CT45A3	HG1443_HG1444_PATCH	134893822	134971309	ENSG00000269096
SAGE1	HG1443_HG1444_PATCH	135023245	135047090	ENSG00000269820
MMGT1	HG1443_HG1444_PATCH	135096099	135108092	ENSG00000269231
SLC9A6	HG1443_HG1444_PATCH	135119468	135181293	ENSG00000269036
CT45A1	HG1443_HG1444_PATCH	134847482	134857255	ENSG00000268940
AC240441.2	HG1443_HG1444_PATCH	134928421	134984823	ENSG00000271449
CT45A5	HG1443_HG1444_PATCH	134962963	135019384	ENSG00000269586
AC240441.1	HG1443_HG1444_PATCH	134997808	135002098	ENSG00000270946
SPANXB1	HG1453_PATCH	140084756	140085871	ENSG00000269853
LDOC1	HG1453_PATCH	140257914	140259290	ENSG00000268691
SPANXC	HG1453_PATCH	140323628	140324661	ENSG00000269309
SPANXA1	HG1453_PATCH	140665839	140667176	ENSG00000269063
SPANXA2	HG1453_PATCH	140671600	140672937	ENSG00000268239
SPANXD	HG1453_PATCH	140779576	140780904	ENSG00000269838
RP1-241P17.4	HG1462_PATCH	114954800	114955819	ENSG00000269390
HIST2H3PS2	HG1287_PATCH	144591970	144592381	ENSG00000265232
NBPF15	HG1287_PATCH	145107801	145148089	ENSG00000266338
FAM72D	HG1287_PATCH	145782415	145799107	ENSG00000264416
PPIAL4D	HG1287_PATCH	145927830	145928614	ENSG00000270913
GPR89A	HG1287_PATCH	146294375	146357063	ENSG00000264337
PDZK1	HG1287_PATCH	146357400	146394563	ENSG00000265111
POLR3C	HG1287_PATCH	146510503	146528920	ENSG00000264806
NUDT17	HG1287_PATCH	146532044	146535368	ENSG00000266054
PIAS3	HG1287_PATCH	146534937	146546251	ENSG00000263461
ANKRD35	HG1287_PATCH	146552975	146572260	ENSG00000263773
ITGA10	HG1287_PATCH	146577623	146596604	ENSG00000264162
PEX11B	HG1287_PATCH	146597765	146605252	ENSG00000265832
HFE2	HG1287_PATCH	146703883	146708333	ENSG00000265970
PRKAB2	HG1287_PATCH	147841521	147858965	ENSG00000266198
CHD1L	HG1287_PATCH	147929056	147982177	ENSG00000264980
FCGR1C	HG1287_PATCH	144561208	144569993	ENSG00000265531
FAM72C	HG1287_PATCH	144641706	144658404	ENSG00000263513
SRGAP2D	HG1287_PATCH	144661157	144754876	ENSG00000270872
AC246785.1	HG1287_PATCH	145059290	145060074	ENSG00000271567
AC253578.1	HG1287_PATCH	145279283	145280067	ENSG00000270339
FP700107.1	HG1287_PATCH	145375927	145377287	ENSG00000273296
AC241585.3	HG1287_PATCH	145852607	145856510	ENSG00000272419
AC241585.1	HG1287_PATCH	145901266	145902353	ENSG00000264863
NBPF10	HG1287_PATCH	145976421	146277520	ENSG00000271254
AC239860.1	HG1287_PATCH	146260284	146274466	ENSG00000272150
CD160	HG1287_PATCH	146414640	146425703	ENSG00000266249
RNF115	HG1287_PATCH	146432834	146510487	ENSG00000265491
RBM8A	HG1287_PATCH	146607983	146613951	ENSG00000265241
AC243547.1	HG1287_PATCH	146619839	146644434	ENSG00000271601
ANKRD34A	HG1287_PATCH	146645856	146650997	ENSG00000272031
POLR3GL	HG1287_PATCH	146651118	146665263	ENSG00000266741
TXNIP	HG1287_PATCH	146678960	146682902	ENSG00000265972
AC239799.1	HG1287_PATCH	146752733	146831219	ENSG00000271425
NOTCH2NL	HG1287_PATCH	146838681	146915449	ENSG00000264343
AC243756.2	HG1287_PATCH	146984419	146985587	ENSG00000271121
AC243756.1	HG1287_PATCH	147030421	147031205	ENSG00000271001
AC241929.1	HG1287_PATCH	147429220	147460378	ENSG00000272427
AC244394.1	HG1287_PATCH	147646386	147682613	ENSG00000268043
FMO5	HG1287_PATCH	147872674	147912053	ENSG00000266748
AC242426.1	HG1287_PATCH	147950795	147971812	ENSG00000272252
BCL9	HG1287_PATCH	148227827	148312631	ENSG00000266095
GJA8	HG1287_PATCH	148589235	148595681	ENSG00000264499
GPR89B	HG1287_PATCH	148614808	148679936	ENSG00000264776
AC239803.1	HG1287_PATCH	148846103	148846564	ENSG00000267846
AC239802.1	HG1287_PATCH	149579542	149581598	ENSG00000264992
FCGR1A	HG1287_PATCH	150469086	150478933	ENSG00000266332
HIST2H2BF	HG1287_PATCH	150469104	150498788	ENSG00000263376
HIST2H3D	HG1287_PATCH	150499686	150500096	ENSG00000265133
HIST2H3C	HG1287_PATCH	150525953	150527608	ENSG00000270827
HIST2H2AA4	HG1287_PATCH	150537491	150538039	ENSG00000266225
HIST2H3A	HG1287_PATCH	150539034	150540689	ENSG00000270263
HIST2H2BE	HG1287_PATCH	150570875	150573097	ENSG00000264719
HIST2H2AC	HG1287_PATCH	150573390	150573826	ENSG00000263521
HIST2H2AB	HG1287_PATCH	150573884	150574331	ENSG00000263965
BOLA1	HG1287_PATCH	150574305	150587213	ENSG00000265570
SV2A	HG1287_PATCH	150589733	150604297	ENSG00000265307
SF3B4	HG1287_PATCH	150609732	150614759	ENSG00000263977
MTMR11	HG1287_PATCH	150615066	150623313	ENSG00000264524
APH1A	HG1287_PATCH	150951819	150955995	ENSG00000266334
C1orf54	HG1287_PATCH	150954615	150967331	ENSG00000266177
C1orf51	HG1287_PATCH	150968958	150973508	ENSG00000266764
PRPF3	HG1287_PATCH	151007891	151039610	ENSG00000265228
RPRD2	HG1287_PATCH	151049506	151162981	ENSG00000266562
ACP6	HG1287_PATCH	148333781	148356927	ENSG00000265277
GJA5	HG1287_PATCH	148443603	148445686	ENSG00000265107
NBPF11	HG1287_PATCH	148788461	148838605	ENSG00000263956
AC245100.1	HG1287_PATCH	149145229	149146286	ENSG00000263962
PPIAL4G	HG1287_PATCH	149169083	149169742	ENSG00000263464
AC239811.2	HG1287_PATCH	149219394	149282305	ENSG00000270629
AC239811.1	HG1287_PATCH	149283884	149366178	ENSG00000268576
AC245389.1	HG1287_PATCH	149435202	149436370	ENSG00000270650
PDE4DIP	HG1287_PATCH	149575878	149719430	ENSG00000264708
NBPF10	HG1287_PATCH	149740448	149768726	ENSG00000269713
NOTCH2NL	HG1287_PATCH	150092791	150154445	ENSG00000264983
AC242842.2	HG1287_PATCH	150162303	150242670	ENSG00000271383
AC242842.1	HG1287_PATCH	150270238	150271022	ENSG00000270537
AC243772.2	HG1287_PATCH	150388743	150392131	ENSG00000272058
HIST1H4A	HG1287_PATCH	150519072	150519467	ENSG00000270882
HIST2H2AA3	HG1287_PATCH	150528636	150529113	ENSG00000272196
HIST1H4A	HG1287_PATCH	150547179	150547574	ENSG00000270276
OTUD7B	HG1287_PATCH	150626747	150697152	ENSG00000264522
VPS45	HG1287_PATCH	150753700	150831742	ENSG00000264082
PLEKHO1	HG1287_PATCH	150836333	150846010	ENSG00000272207
ANP32E	HG1287_PATCH	150906790	150922509	ENSG00000265346
CA14	HG1287_PATCH	150944189	150951476	ENSG00000264654
AC242988.1	HG1287_PATCH	150980264	150994799	ENSG00000266472
PACS2	HG1592_PATCH	105766900	105864484	ENSG00000271374
TEX22	HG1592_PATCH	105864916	105916443	ENSG00000270616
MTA1	HG1592_PATCH	105886159	105937066	ENSG00000270410
CRIP2	HG1592_PATCH	105939299	105946499	ENSG00000270931
CRIP1	HG1592_PATCH	105952654	105955284	ENSG00000270784
C14orf80	HG1592_PATCH	105956192	105965912	ENSG00000270288
TMEM121	HG1592_PATCH	105992940	105996539	ENSG00000271694
AC246787.5	HG1592_PATCH	106436075	106438606	ENSG00000271968
VSTM1	HG1079_PATCH	54544079	54567207	ENSG00000273421
OSCAR	HG1079_PATCH	54597922	54605946	ENSG00000271658
AC012314.3	HG1079_PATCH	54573201	54584619	ENSG00000270825
AC244452.1	HG1592_PATCH	106955103	106961852	ENSG00000270816
SLC9A7	HG29_PATCH	46464753	46618490	ENSG00000271342
RP2	HG29_PATCH	46696375	46741793	ENSG00000271091
CXorf31	HG29_PATCH	46746852	46759138	ENSG00000270459
RGN	HG29_PATCH	46937811	46952748	ENSG00000270349
NDUFB11	HG29_PATCH	47001651	47004939	ENSG00000270272
ZNF81	HG1436_HG1432_PATCH	47696301	47861960	ENSG00000269594
RBM10	HG29_PATCH	47004304	47046248	ENSG00000271352
UBA1	HG29_PATCH	47050296	47074563	ENSG00000271310
CDK16	HG29_PATCH	47077295	47089432	ENSG00000270633
PHF16	HG29_PATCH	46771868	46920676	ENSG00000271363
NDUFA3	HG1079_PATCH	54605982	54612511	ENSG00000271016
TFPT	HG1079_PATCH	54610267	54618929	ENSG00000271203
PRPF31	HG1079_PATCH	54618711	54634963	ENSG00000271442
LENG1	HG1079_PATCH	54658415	54663136	ENSG00000271542
MBOAT7	HG1079_PATCH	54676667	54693136	ENSG00000271019
TSEN34	HG1079_PATCH	54693192	54696984	ENSG00000270502
RPS9	HG1079_PATCH	54703996	54752257	ENSG00000271572
LILRB3	HG1079_PATCH	54719532	54746007	ENSG00000270216
LILRB2	HG1079_PATCH	54777075	54784438	ENSG00000271481
LILRA4	HG1079_PATCH	54836439	54842404	ENSG00000270366
CDC42EP5	HG1079_PATCH	54968280	54976518	ENSG00000270365
LAIR2	HG1079_PATCH	55001133	55013941	ENSG00000271116
LILRA2	HG1079_PATCH	55076174	55090814	ENSG00000270501
LILRB1	HG1079_PATCH	55077133	55140782	ENSG00000270756
LILRA1	HG1079_PATCH	55096836	55105344	ENSG00000271188
AC009892.10	HG1079_PATCH	55138976	55142146	ENSG00000271107
LILRB4	HG1079_PATCH	55147143	55173613	ENSG00000271326
KIR3DL1	HG1079_PATCH	55227718	55370248	ENSG00000271039
AL022578.1	HG1436_HG1432_PATCH	47695352	47696192	ENSG00000269824
KIR3DL3	HG1079_PATCH	55227733	55239790	ENSG00000271124
KIR2DL4	HG1079_PATCH	55227751	55317772	ENSG00000271713
KIR2DL3	HG1079_PATCH	55241769	55287579	ENSG00000270787
KIR2DL1	HG1079_PATCH	55273065	55287577	ENSG00000270186
KIR3DL2	HG1079_PATCH	55353698	55370462	ENSG00000271613
FCAR	HG1079_PATCH	55377503	55393727	ENSG00000271210
NCR1	HG1079_PATCH	55409405	55419395	ENSG00000271000
NLRP7	HG1079_PATCH	55426764	55469567	ENSG00000270884
NLRP2	HG1079_PATCH	55456385	55504397	ENSG00000270370
GP6	HG1079_PATCH	55516960	55541519	ENSG00000270886
RDH13	HG1079_PATCH	55542363	55574546	ENSG00000270998
EPS8L1	HG1079_PATCH	55575275	55591178	ENSG00000270836
CNOT3	HG1079_PATCH	54640974	54658961	ENSG00000270262
AC245052.2	HG1079_PATCH	54663352	54676504	ENSG00000270942
AC245052.1	HG1079_PATCH	54753663	54760558	ENSG00000270848
LILRA5	HG1079_PATCH	54810571	54816336	ENSG00000262610
AC245884.2	HG1079_PATCH	54856880	54868368	ENSG00000270671
AC245884.1	HG1079_PATCH	54918685	54940126	ENSG00000270420
AC245884.3	HG1079_PATCH	54952141	54965270	ENSG00000270985
KIR3DX1	HG1079_PATCH	55036045	55046986	ENSG00000270220
ZNF182	HG1436_HG1432_PATCH	47834250	47863377	ENSG00000269334
ZNF630	HG1436_HG1432_PATCH	47842755	47931057	ENSG00000269649
SPACA5	HG1436_HG1432_PATCH	47863735	47869128	ENSG00000268260
SPACA5B	HG1436_HG1432_PATCH	47990056	47992012	ENSG00000268393
SSX5	HG1436_HG1432_PATCH	48045619	48056162	ENSG00000268256
SSX1	HG1436_HG1432_PATCH	48114716	48126843	ENSG00000268546
SSX3	HG1436_HG1432_PATCH	48205827	48216106	ENSG00000269122
FTSJ1	HG1436_HG1432_PATCH	48335552	48345763	ENSG00000269875
PORCN	HG1436_HG1432_PATCH	48368361	48380213	ENSG00000268138
EBP	HG1436_HG1432_PATCH	48380557	48388115	ENSG00000268394
TBC1D25	HG1436_HG1432_PATCH	48398856	48422008	ENSG00000269499
AC115618.2	HG1436_HG1432_PATCH	48432493	48434286	ENSG00000268786
RBM3	HG1436_HG1432_PATCH	48433848	48438465	ENSG00000268489
WDR13	HG1436_HG1432_PATCH	48449441	48464592	ENSG00000267843
WAS	HG1436_HG1432_PATCH	48535995	48550826	ENSG00000267912
SUV39H1	HG1436_HG1432_PATCH	48554953	48568411	ENSG00000268740
